istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
19141,2018,7,5,16,30.3
19141,2018,7,5,17,28.8
19141,2018,7,5,18,26.0
19141,2018,7,5,19,24.5
19141,2018,7,5,20,22.5
19141,2018,7,5,21,21.6
19141,2018,7,5,22,19.5
19141,2018,7,5,23,19.0
19141,2018,7,6,0,17.6
19141,2018,7,6,1,15.8
19141,2018,7,6,2,15.0
19141,2018,7,6,3,15.0
19141,2018,7,6,4,19.8
19141,2018,7,6,5,21.1
19141,2018,7,6,6,24.6
19141,2018,7,6,7,26.8
19141,2018,7,6,8,28.4
19141,2018,7,6,9,29.8
19141,2018,7,6,10,29.8
19141,2018,7,6,11,30.8
19141,2018,7,6,12,30.9
19141,2018,7,6,13,31.7
19141,2018,7,6,14,31.6
19141,2018,7,6,15,30.3
19141,2018,7,6,16,29.0
19141,2018,7,6,17,27.3
19141,2018,7,6,18,25.6
19141,2018,7,6,19,23.3
19141,2018,7,6,20,22.1
19141,2018,7,6,21,21.7
19141,2018,7,6,22,20.3
19141,2018,7,6,23,17.8
19141,2018,7,7,0,16.6
19141,2018,7,7,1,16.1
19141,2018,7,7,2,15.7
19141,2018,7,7,3,15.7
19141,2018,7,7,4,19.3
19141,2018,7,7,5,21.6
19141,2018,7,7,6,24.1
19141,2018,7,7,7,25.8
19141,2018,7,7,8,27.6
19141,2018,7,7,9,29.5
19141,2018,7,7,10,30.5
19141,2018,7,7,11,31.7
19141,2018,7,7,12,32.3
19141,2018,7,7,13,32.3
19141,2018,7,7,14,32.3
19141,2018,7,7,15,31.3
19141,2018,7,7,16,30.4
19141,2018,7,7,17,28.4
19141,2018,7,7,18,26.0
19141,2018,7,7,19,24.6
19141,2018,7,7,20,23.4
19141,2018,7,7,21,22.1
19141,2018,7,7,22,20.7
19141,2018,7,7,23,19.2
19141,2018,7,8,0,18.1
19141,2018,7,8,1,17.1
19141,2018,7,8,2,16.7
19141,2018,7,8,3,17.1
19141,2018,7,8,4,20.1
19141,2018,7,8,5,21.5
19141,2018,7,8,6,22.8
19141,2018,7,8,7,25.2
19141,2018,7,8,8,26.5
19141,2018,7,8,9,28.3
19141,2018,7,8,10,29.8
19141,2018,7,8,11,30.5
19141,2018,7,8,12,31.4
19141,2018,7,8,13,31.6
