istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
17121,1992,7,4,19,72
17121,1992,7,5,5,82
17121,1992,7,5,12,41
17121,1992,7,5,19,56
17121,1992,7,6,5,75
17121,1992,7,6,12,35
17121,1992,7,6,19,48
17121,1992,7,7,5,74
17121,1992,7,7,12,23
17121,1992,7,7,19,33
17121,1992,7,8,5,67
17121,1992,7,8,12,26
17121,1992,7,8,19,57
17121,1992,7,9,5,72
17121,1992,7,9,12,49
17121,1992,7,9,19,86
17121,1992,7,10,5,81
17121,1992,7,10,12,26
17121,1992,7,10,19,47
17121,1992,7,11,5,52
17121,1992,7,11,12,27
17121,1992,7,11,19,59
17121,1992,7,12,5,63
17121,1992,7,12,12,31
17121,1992,7,12,19,42
17121,1992,7,13,5,86
17121,1992,7,13,12,31
17121,1992,7,13,19,68
17121,1992,7,14,5,86
17121,1992,7,14,12,74
17121,1992,7,14,19,94
17121,1992,7,15,5,90
17121,1992,7,15,12,49
17121,1992,7,15,19,71
17121,1992,7,16,5,69
17121,1992,7,16,12,44
17121,1992,7,16,19,84
17121,1992,7,17,5,83
17121,1992,7,17,12,47
17121,1992,7,17,19,74
17121,1992,7,18,5,72
17121,1992,7,18,12,43
17121,1992,7,18,19,67
17121,1992,7,19,5,65
17121,1992,7,19,12,29
17121,1992,7,19,19,55
17121,1992,7,20,5,81
17121,1992,7,20,12,68
17121,1992,7,20,19,66
17121,1992,7,21,5,62
17121,1992,7,21,12,51
17121,1992,7,21,19,73
17121,1992,7,22,5,81
17121,1992,7,22,12,68
17121,1992,7,22,19,92
17121,1992,7,23,5,87
17121,1992,7,23,12,40
17121,1992,7,23,19,85
17121,1992,7,24,5,87
17121,1992,7,24,12,32
17121,1992,7,24,19,77
17121,1992,7,25,5,75
17121,1992,7,25,12,45
17121,1992,7,25,19,77
17121,1992,7,26,5,61
17121,1992,7,26,12,36
17121,1992,7,26,19,71
17121,1992,7,27,5,78
17121,1992,7,27,12,48
17121,1992,7,27,19,81
17121,1992,7,28,5,88
17121,1992,7,28,12,45
17121,1992,7,28,19,83
17121,1992,7,29,5,79
17121,1992,7,29,12,46
17121,1992,7,29,19,79
17121,1992,7,30,5,77
17121,1992,7,30,12,46
17121,1992,7,30,19,80
17121,1992,7,31,5,84
17121,1992,7,31,12,41
17121,1992,7,31,19,60
17121,1992,8,1,5,74
17121,1992,8,1,12,32
17121,1992,8,1,19,70
17121,1992,8,2,5,79
17121,1992,8,2,12,29
17121,1992,8,2,19,57
17121,1992,8,3,5,84
17121,1992,8,3,12,33
17121,1992,8,3,19,58
17121,1992,8,4,5,81
17121,1992,8,4,12,32
17121,1992,8,4,19,80
17121,1992,8,5,5,80
17121,1992,8,5,12,36
17121,1992,8,5,19,63
17121,1992,8,6,5,69
17121,1992,8,6,12,32
17121,1992,8,6,19,65
17121,1992,8,7,5,74
17121,1992,8,7,12,28
17121,1992,8,7,19,66
17121,1992,8,8,5,74
17121,1992,8,8,12,30
17121,1992,8,8,19,48
17121,1992,8,9,5,74
17121,1992,8,9,12,36
17121,1992,8,9,19,66
17121,1992,8,10,5,78
17121,1992,8,10,12,21
17121,1992,8,10,19,51
17121,1992,8,11,5,82
17121,1992,8,11,12,24
17121,1992,8,11,19,62
17121,1992,8,12,5,83
17121,1992,8,12,12,28
17121,1992,8,12,19,68
17121,1992,8,13,5,91
17121,1992,8,13,12,23
17121,1992,8,13,19,66
17121,1992,8,14,5,84
17121,1992,8,14,12,24
17121,1992,8,14,19,59
17121,1992,8,15,5,76
17121,1992,8,15,12,21
17121,1992,8,15,19,55
17121,1992,8,16,5,55
17121,1992,8,16,12,29
17121,1992,8,16,19,64
17121,1992,8,17,5,63
17121,1992,8,17,12,25
17121,1992,8,17,19,65
17121,1992,8,18,5,84
17121,1992,8,18,12,37
17121,1992,8,18,19,69
17121,1992,8,19,5,79
17121,1992,8,19,12,30
17121,1992,8,19,19,58
17121,1992,8,20,5,60
17121,1992,8,20,12,36
17121,1992,8,20,19,63
17121,1992,8,21,5,82
17121,1992,8,21,12,26
17121,1992,8,21,19,90
17121,1992,8,22,5,70
17121,1992,8,22,12,53
17121,1992,8,22,19,73
17121,1992,8,23,5,82
17121,1992,8,23,12,46
17121,1992,8,23,19,70
17121,1992,8,24,5,86
17121,1992,8,24,12,23
17121,1992,8,24,19,56
17121,1992,8,25,5,72
17121,1992,8,25,12,34
17121,1992,8,25,19,75
17121,1992,8,26,5,88
17121,1992,8,26,12,30
17121,1992,8,26,19,70
17121,1992,8,27,5,80
17121,1992,8,27,12,29
17121,1992,8,27,19,54
17121,1992,8,28,5,70
17121,1992,8,28,12,30
17121,1992,8,28,19,42
17121,1992,8,29,5,72
17121,1992,8,29,12,32
17121,1992,8,29,19,51
17121,1992,8,30,5,66
17121,1992,8,30,12,24
17121,1992,8,30,19,49
17121,1992,8,31,5,85
17121,1992,8,31,12,24
17121,1992,8,31,19,69
17121,1993,7,1,5,70
17121,1993,7,1,12,39
17121,1993,7,1,19,50
17121,1993,7,2,5,52
17121,1993,7,2,12,41
17121,1993,7,2,19,81
17121,1993,7,3,5,73
17121,1993,7,3,12,32
17121,1993,7,3,19,54
17121,1993,7,4,5,61
17121,1993,7,4,12,25
17121,1993,7,4,19,34
17121,1993,7,5,5,45
17121,1993,7,5,12,33
17121,1993,7,5,19,54
17121,1993,7,6,5,70
17121,1993,7,6,12,31
17121,1993,7,6,19,44
17121,1993,7,7,5,73
17121,1993,7,7,12,17
17121,1993,7,7,19,54
17121,1993,7,8,5,82
17121,1993,7,8,12,47
17121,1993,7,8,19,91
17121,1993,7,9,5,79
17121,1993,7,9,12,51
17121,1993,7,9,19,90
17121,1993,7,10,5,78
17121,1993,7,10,12,32
17121,1993,7,10,19,51
17121,1993,7,11,5,80
17121,1993,7,11,12,20
17121,1993,7,11,19,55
17121,1993,7,12,5,62
17121,1993,7,12,12,20
17121,1993,7,12,19,44
17121,1993,7,13,5,55
17121,1993,7,13,12,49
17121,1993,7,13,19,91
17121,1993,7,14,5,80
17121,1993,7,14,12,54
17121,1993,7,14,19,91
17121,1993,7,15,5,82
17121,1993,7,15,12,29
17121,1993,7,15,19,46
17121,1993,7,16,5,89
17121,1993,7,16,12,32
17121,1993,7,16,19,71
17121,1993,7,17,5,77
17121,1993,7,17,12,28
17121,1993,7,17,19,51
17121,1993,7,18,5,72
17121,1993,7,18,12,28
17121,1993,7,18,19,51
17121,1993,7,19,5,77
17121,1993,7,19,12,33
17121,1993,7,19,19,47
17121,1993,7,20,5,72
17121,1993,7,20,12,31
17121,1993,7,20,19,64
17121,1993,7,21,5,87
17121,1993,7,21,12,16
17121,1993,7,21,19,57
17121,1993,7,22,5,53
17121,1993,7,22,12,11
17121,1993,7,22,19,56
17121,1993,7,23,5,56
17121,1993,7,23,12,31
17121,1993,7,23,19,85
17121,1993,7,24,5,87
17121,1993,7,24,12,44
17121,1993,7,24,19,68
17121,1993,7,25,5,67
17121,1993,7,25,12,30
17121,1993,7,25,19,54
17121,1993,7,26,5,78
17121,1993,7,26,12,25
17121,1993,7,26,19,52
17121,1993,7,27,5,72
17121,1993,7,27,12,23
17121,1993,7,27,19,74
17121,1993,7,28,5,73
17121,1993,7,28,12,46
17121,1993,7,28,19,74
17121,1993,7,29,5,67
17121,1993,7,29,12,31
17121,1993,7,29,19,53
17121,1993,7,30,5,68
17121,1993,7,30,12,18
17121,1993,7,30,19,47
17121,1993,7,31,5,67
17121,1993,7,31,12,23
17121,1993,7,31,19,59
17121,1993,8,1,5,81
17121,1993,8,1,12,19
17121,1993,8,1,19,50
17121,1993,8,2,5,80
17121,1993,8,2,12,28
17121,1993,8,2,19,48
17121,1993,8,3,5,74
17121,1993,8,3,12,30
17121,1993,8,3,19,64
17121,1993,8,4,5,87
17121,1993,8,4,12,22
17121,1993,8,4,19,55
17121,1993,8,5,5,83
17121,1993,8,5,12,36
17121,1993,8,5,19,68
17121,1993,8,6,5,83
17121,1993,8,6,12,25
17121,1993,8,6,19,68
17121,1993,8,7,5,81
17121,1993,8,7,12,22
17121,1993,8,7,19,68
17121,1993,8,8,5,82
17121,1993,8,8,12,23
17121,1993,8,8,19,67
17121,1993,8,9,5,75
17121,1993,8,9,12,14
17121,1993,8,9,19,65
17121,1993,8,10,5,86
17121,1993,8,10,12,67
17121,1993,8,10,19,94
17121,1993,8,11,5,90
17121,1993,8,11,12,42
17121,1993,8,11,19,93
17121,1993,8,12,5,82
17121,1993,8,12,12,86
17121,1993,8,12,19,88
17121,1993,8,13,5,87
17121,1993,8,13,12,60
17121,1993,8,13,19,77
17121,1993,8,14,5,81
17121,1993,8,14,12,46
17121,1993,8,14,19,78
17121,1993,8,15,5,90
17121,1993,8,15,12,34
17121,1993,8,15,19,76
17121,1993,8,16,5,92
17121,1993,8,16,12,43
17121,1993,8,16,19,75
17121,1993,8,17,5,92
17121,1993,8,17,12,42
17121,1993,8,17,19,72
17121,1993,8,18,5,92
17121,1993,8,18,12,36
17121,1993,8,18,19,83
17121,1993,8,19,5,84
17121,1993,8,19,12,50
17121,1993,8,19,19,74
17121,1993,8,20,5,85
17121,1993,8,20,12,37
17121,1993,8,20,19,64
17121,1993,8,21,5,63
17121,1993,8,21,12,36
17121,1993,8,21,19,75
17121,1993,8,22,5,83
17121,1993,8,22,12,28
17121,1993,8,22,19,56
17121,1993,8,23,5,83
17121,1993,8,23,12,19
17121,1993,8,23,19,53
17121,1993,8,24,5,74
17121,1993,8,24,12,18
17121,1993,8,24,19,67
17121,1993,8,25,5,77
17121,1993,8,25,12,23
17121,1993,8,25,19,50
17121,1993,8,26,5,83
17121,1993,8,26,12,21
17121,1993,8,26,19,30
17121,1993,8,27,5,76
17121,1993,8,27,12,25
17121,1993,8,27,19,87
17121,1993,8,28,5,83
17121,1993,8,28,12,17
17121,1993,8,28,19,54
17121,1993,8,29,5,78
17121,1993,8,29,12,17
17121,1993,8,29,19,52
17121,1993,8,30,5,94
17121,1993,8,30,12,38
17121,1993,8,30,19,90
17121,1993,8,31,5,83
17121,1993,8,31,12,38
17121,1993,8,31,19,82
17121,1994,7,1,5,63
17121,1994,7,1,12,17
17121,1994,7,1,19,40
17121,1994,7,2,5,62
17121,1994,7,2,12,23
17121,1994,7,2,19,54
17121,1994,7,3,5,75
17121,1994,7,3,12,40
17121,1994,7,3,19,65
17121,1994,7,4,5,48
17121,1994,7,4,12,35
17121,1994,7,4,19,57
17121,1994,7,5,5,74
17121,1994,7,5,12,32
17121,1994,7,5,19,29
17121,1994,7,6,5,56
17121,1994,7,6,12,19
17121,1994,7,6,19,28
17121,1994,7,7,5,57
17121,1994,7,7,12,21
17121,1994,7,7,19,42
17121,1994,7,8,5,72
17121,1994,7,8,12,34
17121,1994,7,8,19,50
17121,1994,7,9,5,70
17121,1994,7,9,12,26
17121,1994,7,9,19,46
17121,1994,7,10,5,68
17121,1994,7,10,12,28
17121,1994,7,10,19,83
17121,1994,7,11,5,75
17121,1994,7,11,12,50
17121,1994,7,11,19,83
17121,1994,7,12,5,85
17121,1994,7,12,12,26
17121,1994,7,12,19,74
17121,1994,7,13,5,67
17121,1994,7,13,12,43
17121,1994,7,13,19,67
17121,1994,7,14,5,61
17121,1994,7,14,12,43
17121,1994,7,14,19,71
17121,1994,7,15,5,67
17121,1994,7,15,12,33
17121,1994,7,15,19,74
17121,1994,7,16,5,71
17121,1994,7,16,12,37
17121,1994,7,16,19,65
17121,1994,7,17,5,59
17121,1994,7,17,12,37
17121,1994,7,17,19,50
17121,1994,7,18,5,58
17121,1994,7,18,12,45
17121,1994,7,18,19,49
17121,1994,7,19,5,61
17121,1994,7,19,12,31
17121,1994,7,19,19,51
17121,1994,7,20,5,65
17121,1994,7,20,12,26
17121,1994,7,20,19,43
17121,1994,7,21,5,68
17121,1994,7,21,12,29
17121,1994,7,21,19,57
17121,1994,7,22,5,71
17121,1994,7,22,12,26
17121,1994,7,22,19,63
17121,1994,7,23,5,73
17121,1994,7,23,12,28
17121,1994,7,23,19,72
17121,1994,7,24,5,73
17121,1994,7,24,12,40
17121,1994,7,24,19,56
17121,1994,7,25,5,69
17121,1994,7,25,12,28
17121,1994,7,25,19,55
17121,1994,7,26,5,73
17121,1994,7,26,12,45
17121,1994,7,26,19,51
17121,1994,7,27,5,80
17121,1994,7,27,12,29
17121,1994,7,27,19,58
17121,1994,7,28,5,81
17121,1994,7,28,12,22
17121,1994,7,28,19,58
17121,1994,7,29,5,67
17121,1994,7,29,12,43
17121,1994,7,29,19,51
17121,1994,7,30,5,50
17121,1994,7,30,12,24
17121,1994,7,30,19,62
17121,1994,7,31,5,85
17121,1994,7,31,12,57
17121,1994,7,31,19,58
17121,1994,8,1,5,87
17121,1994,8,1,12,35
17121,1994,8,1,19,46
17121,1994,8,2,5,67
17121,1994,8,2,12,31
17121,1994,8,2,19,40
17121,1994,8,3,5,76
17121,1994,8,3,12,26
17121,1994,8,3,19,51
17121,1994,8,4,5,78
17121,1994,8,4,12,30
17121,1994,8,4,19,37
17121,1994,8,5,5,72
17121,1994,8,5,12,29
17121,1994,8,5,19,67
17121,1994,8,6,5,82
17121,1994,8,6,12,31
17121,1994,8,6,19,72
17121,1994,8,7,5,78
17121,1994,8,7,12,35
17121,1994,8,7,19,62
17121,1994,8,8,5,75
17121,1994,8,8,12,35
17121,1994,8,8,19,55
17121,1994,8,9,5,77
17121,1994,8,9,12,28
17121,1994,8,9,19,55
17121,1994,8,10,5,70
17121,1994,8,10,12,19
17121,1994,8,10,19,46
17121,1994,8,11,5,65
17121,1994,8,11,12,31
17121,1994,8,11,19,27
17121,1994,8,12,5,58
17121,1994,8,12,12,19
17121,1994,8,12,19,30
17121,1994,8,13,5,64
17121,1994,8,13,12,27
17121,1994,8,13,19,66
17121,1994,8,14,5,80
17121,1994,8,14,12,32
17121,1994,8,14,19,33
17121,1994,8,15,5,45
17121,1994,8,15,12,13
17121,1994,8,15,19,29
17121,1994,8,16,5,55
17121,1994,8,16,12,45
17121,1994,8,16,19,54
17121,1994,8,17,5,61
17121,1994,8,17,12,39
17121,1994,8,17,19,66
17121,1994,8,18,5,71
17121,1994,8,18,12,28
17121,1994,8,18,19,48
17121,1994,8,19,5,67
17121,1994,8,19,12,26
17121,1994,8,19,19,48
17121,1994,8,20,5,69
17121,1994,8,20,12,45
17121,1994,8,20,19,61
17121,1994,8,21,5,43
17121,1994,8,21,12,16
17121,1994,8,21,19,32
17121,1994,8,22,5,64
17121,1994,8,22,12,21
17121,1994,8,22,19,53
17121,1994,8,23,5,69
17121,1994,8,23,12,21
17121,1994,8,23,19,34
17121,1994,8,24,5,70
17121,1994,8,24,12,30
17121,1994,8,24,19,48
17121,1994,8,25,5,77
17121,1994,8,25,12,26
17121,1994,8,25,19,37
17121,1994,8,26,5,65
17121,1994,8,26,12,22
17121,1994,8,26,19,50
17121,1994,8,27,5,74
17121,1994,8,27,12,47
17121,1994,8,27,19,80
17121,1994,8,28,5,83
17121,1994,8,28,12,76
17121,1994,8,28,19,89
17121,1994,8,29,5,86
17121,1994,8,29,12,68
17121,1994,8,29,19,84
17121,1994,8,30,5,83
17121,1994,8,30,12,38
17121,1994,8,30,19,76
17121,1994,8,31,5,88
17121,1994,8,31,12,35
17121,1994,8,31,19,74
17121,1995,7,1,5,78
17121,1995,7,1,12,38
17121,1995,7,1,19,66
17121,1995,7,2,5,70
17121,1995,7,2,12,33
17121,1995,7,2,19,69
17121,1995,7,3,5,70
17121,1995,7,3,12,39
17121,1995,7,3,19,57
17121,1995,7,4,5,77
17121,1995,7,4,12,30
17121,1995,7,4,19,67
17121,1995,7,5,5,58
17121,1995,7,5,12,23
17121,1995,7,5,19,33
17121,1995,7,6,5,43
17121,1995,7,6,12,33
17121,1995,7,6,19,57
17121,1995,7,7,5,81
17121,1995,7,7,12,33
17121,1995,7,7,19,72
17121,1995,7,8,5,81
17121,1995,7,8,12,52
17121,1995,7,8,19,91
17121,1995,7,9,5,90
17121,1995,7,9,12,91
17121,1995,7,9,19,90
17121,1995,7,10,5,90
17121,1995,7,10,12,61
17121,1995,7,10,19,83
17121,1995,7,11,5,82
17121,1995,7,11,12,52
17121,1995,7,11,19,86
17121,1995,7,12,5,82
17121,1995,7,12,12,63
17121,1995,7,12,19,82
17121,1995,7,13,5,86
17121,1995,7,13,12,48
17121,1995,7,13,19,75
17121,1995,7,14,5,73
17121,1995,7,14,12,50
17121,1995,7,14,19,81
17121,1995,7,15,5,82
17121,1995,7,15,12,40
17121,1995,7,15,19,58
17121,1995,7,16,5,67
17121,1995,7,16,12,39
17121,1995,7,16,19,64
17121,1995,7,17,5,79
17121,1995,7,17,12,41
17121,1995,7,17,19,77
17121,1995,7,18,5,82
17121,1995,7,18,12,34
17121,1995,7,18,19,51
17121,1995,7,19,5,73
17121,1995,7,19,12,26
17121,1995,7,19,19,63
17121,1995,7,20,5,68
17121,1995,7,20,12,38
17121,1995,7,20,19,72
17121,1995,7,21,5,64
17121,1995,7,21,12,29
17121,1995,7,21,19,66
17121,1995,7,22,5,71
17121,1995,7,22,12,40
17121,1995,7,22,19,65
17121,1995,7,23,5,77
17121,1995,7,23,12,49
17121,1995,7,23,19,76
17121,1995,7,24,5,73
17121,1995,7,24,12,62
17121,1995,7,24,19,78
17121,1995,7,25,5,70
17121,1995,7,25,12,62
17121,1995,7,25,19,89
17121,1995,7,26,5,79
17121,1995,7,26,12,39
17121,1995,7,26,19,61
17121,1995,7,27,5,76
17121,1995,7,27,12,31
17121,1995,7,27,19,65
17121,1995,7,28,5,80
17121,1995,7,28,12,32
17121,1995,7,28,19,58
17121,1995,7,29,5,73
17121,1995,7,29,12,31
17121,1995,7,29,19,59
17121,1995,7,30,5,76
17121,1995,7,30,12,31
17121,1995,7,30,19,61
17121,1995,7,31,5,84
17121,1995,7,31,12,28
17121,1995,7,31,19,69
17121,1995,8,1,5,86
17121,1995,8,1,12,35
17121,1995,8,1,19,73
17121,1995,8,2,5,83
17121,1995,8,2,12,35
17121,1995,8,2,19,71
17121,1995,8,3,5,75
17121,1995,8,3,12,47
17121,1995,8,3,19,74
17121,1995,8,4,5,77
17121,1995,8,4,12,43
17121,1995,8,4,19,72
17121,1995,8,5,5,74
17121,1995,8,5,12,31
17121,1995,8,5,19,46
17121,1995,8,6,5,71
17121,1995,8,6,12,36
17121,1995,8,6,19,61
17121,1995,8,7,5,71
17121,1995,8,7,12,35
17121,1995,8,7,19,67
17121,1995,8,8,5,78
17121,1995,8,8,12,26
17121,1995,8,8,19,44
17121,1995,8,9,5,80
17121,1995,8,9,12,25
17121,1995,8,9,19,52
17121,1995,8,10,5,91
17121,1995,8,10,12,35
17121,1995,8,10,19,62
17121,1995,8,11,5,69
17121,1995,8,11,12,52
17121,1995,8,11,19,78
17121,1995,8,12,5,76
17121,1995,8,12,12,35
17121,1995,8,12,19,66
17121,1995,8,13,5,79
17121,1995,8,13,12,31
17121,1995,8,13,19,56
17121,1995,8,14,5,79
17121,1995,8,14,12,24
17121,1995,8,14,19,49
17121,1995,8,15,5,71
17121,1995,8,15,12,15
17121,1995,8,15,19,70
17121,1995,8,16,5,84
17121,1995,8,16,12,41
17121,1995,8,16,19,81
17121,1995,8,17,5,82
17121,1995,8,17,12,45
17121,1995,8,17,19,78
17121,1995,8,18,5,86
17121,1995,8,18,12,43
17121,1995,8,18,19,73
17121,1995,8,19,5,87
17121,1995,8,19,12,33
17121,1995,8,19,19,78
17121,1995,8,20,5,90
17121,1995,8,20,12,28
17121,1995,8,20,19,60
17121,1995,8,21,5,91
17121,1995,8,21,12,39
17121,1995,8,21,19,50
17121,1995,8,22,5,78
17121,1995,8,22,12,40
17121,1995,8,22,19,67
17121,1995,8,23,5,81
17121,1995,8,23,12,35
17121,1995,8,23,19,60
17121,1995,8,24,5,92
17121,1995,8,24,12,37
17121,1995,8,24,19,67
17121,1995,8,25,5,88
17121,1995,8,25,12,34
17121,1995,8,25,19,47
17121,1995,8,26,5,65
17121,1995,8,26,12,25
17121,1995,8,26,19,47
17121,1995,8,27,5,66
17121,1995,8,27,12,53
17121,1995,8,27,19,93
17121,1995,8,28,5,92
17121,1995,8,28,12,39
17121,1995,8,28,19,71
17121,1995,8,29,5,90
17121,1995,8,29,12,24
17121,1995,8,29,19,62
17121,1995,8,30,5,76
17121,1995,8,30,12,35
17121,1995,8,30,19,81
17121,1995,8,31,5,89
17121,1995,8,31,12,24
17121,1995,8,31,19,55
17121,1996,7,1,5,64
17121,1996,7,1,12,26
17121,1996,7,1,19,36
17121,1996,7,2,5,58
17121,1996,7,2,12,22
17121,1996,7,2,19,48
17121,1996,7,3,5,64
17121,1996,7,3,12,18
17121,1996,7,3,19,42
17121,1996,7,4,5,47
17121,1996,7,4,12,19
17121,1996,7,4,19,53
17121,1996,7,5,5,64
17121,1996,7,5,12,23
17121,1996,7,5,19,34
17121,1996,7,6,5,59
17121,1996,7,6,12,27
17121,1996,7,6,19,70
17121,1996,7,7,5,64
17121,1996,7,7,12,27
17121,1996,7,7,19,64
17121,1996,7,8,5,71
17121,1996,7,8,12,19
17121,1996,7,8,19,49
17121,1996,7,9,5,72
17121,1996,7,9,12,15
17121,1996,7,9,19,44
17121,1996,7,10,5,54
17121,1996,7,10,12,10
17121,1996,7,10,19,80
17121,1996,7,11,5,75
17121,1996,7,11,12,53
17121,1996,7,11,19,77
17121,1996,7,12,5,72
17121,1996,7,12,12,43
17121,1996,7,12,19,77
17121,1996,7,13,5,67
17121,1996,7,13,12,38
17121,1996,7,13,19,91
17121,1996,7,14,5,90
17121,1996,7,14,12,32
17121,1996,7,14,19,72
17121,1996,7,15,5,78
17121,1996,7,15,12,35
17121,1996,7,15,19,68
17121,1996,7,16,5,67
17121,1996,7,16,12,37
17121,1996,7,16,19,50
17121,1996,7,17,5,56
17121,1996,7,17,12,59
17121,1996,7,17,19,70
17121,1996,7,18,5,71
17121,1996,7,18,12,55
17121,1996,7,18,19,67
17121,1996,7,19,5,70
17121,1996,7,19,12,33
17121,1996,7,19,19,52
17121,1996,7,20,5,40
17121,1996,7,20,12,22
17121,1996,7,20,19,63
17121,1996,7,21,5,69
17121,1996,7,21,12,28
17121,1996,7,21,19,61
17121,1996,7,22,5,75
