istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
19141,2018,7,5,22,61.0
19141,2018,7,5,23,64.0
19141,2018,7,6,0,71.0
19141,2018,7,6,1,77.0
19141,2018,7,6,2,80.0
19141,2018,7,6,3,81.0
19141,2018,7,6,4,63.0
19141,2018,7,6,5,53.0
19141,2018,7,6,6,44.0
19141,2018,7,6,7,41.0
19141,2018,7,6,8,35.0
19141,2018,7,6,9,32.0
19141,2018,7,6,10,33.0
19141,2018,7,6,11,34.0
19141,2018,7,6,12,34.0
19141,2018,7,6,13,30.0
19141,2018,7,6,14,33.0
19141,2018,7,6,15,36.0
19141,2018,7,6,16,41.0
19141,2018,7,6,17,46.0
19141,2018,7,6,18,50.0
19141,2018,7,6,19,52.0
19141,2018,7,6,20,56.0
19141,2018,7,6,21,61.0
19141,2018,7,6,22,68.0
19141,2018,7,6,23,72.0
19141,2018,7,7,0,84.0
19141,2018,7,7,1,86.0
19141,2018,7,7,2,91.0
19141,2018,7,7,3,92.0
19141,2018,7,7,4,78.0
19141,2018,7,7,5,71.0
19141,2018,7,7,6,59.0
19141,2018,7,7,7,52.0
19141,2018,7,7,8,43.0
19141,2018,7,7,9,39.0
19141,2018,7,7,10,35.0
19141,2018,7,7,11,30.0
19141,2018,7,7,12,27.0
19141,2018,7,7,13,27.0
19141,2018,7,7,14,31.0
19141,2018,7,7,15,33.0
19141,2018,7,7,16,36.0
19141,2018,7,7,17,43.0
19141,2018,7,7,18,49.0
19141,2018,7,7,19,54.0
19141,2018,7,7,20,59.0
19141,2018,7,7,21,63.0
19141,2018,7,7,22,67.0
19141,2018,7,7,23,74.0
19141,2018,7,8,0,79.0
19141,2018,7,8,1,82.0
19141,2018,7,8,2,86.0
19141,2018,7,8,3,87.0
19141,2018,7,8,4,78.0
19141,2018,7,8,5,74.0
19141,2018,7,8,6,70.0
19141,2018,7,8,7,65.0
19141,2018,7,8,8,59.0
19141,2018,7,8,9,49.0
19141,2018,7,8,10,43.0
19141,2018,7,8,11,41.0
19141,2018,7,8,12,39.0
19141,2018,7,8,13,41.0
19141,2018,7,8,14,45.0
19141,2018,7,8,15,45.0
19141,2018,7,8,16,47.0
19141,2018,7,8,17,52.0
19141,2018,7,8,18,57.0
19141,2018,7,8,19,65.0
19141,2018,7,8,20,69.0
19141,2018,7,8,21,72.0
19141,2018,7,8,22,77.0
19141,2018,7,8,23,82.0
19141,2018,7,9,0,86.0
19141,2018,7,9,1,88.0
19141,2018,7,9,2,90.0
19141,2018,7,9,3,92.0
19141,2018,7,9,4,86.0
19141,2018,7,9,5,77.0
19141,2018,7,9,6,71.0
19141,2018,7,9,7,76.0
19141,2018,7,9,8,64.0
19141,2018,7,9,9,53.0
19141,2018,7,9,10,42.0
19141,2018,7,9,11,35.0
19141,2018,7,9,12,35.0
19141,2018,7,9,13,39.0
19141,2018,7,9,14,70.0
19141,2018,7,9,18,70.0
19141,2018,7,9,19,73.0
19141,2018,7,9,21,84.0
19141,2018,7,9,23,90.0
19141,2018,7,10,0,93.0
19141,2018,7,10,1,94.0
19141,2018,7,10,2,97.0
19141,2018,7,10,5,85.0
19141,2018,7,10,6,70.0
19141,2018,7,10,7,65.0
19141,2018,7,10,9,48.0
19141,2018,7,10,10,43.0
19141,2018,7,10,11,37.0
19141,2018,7,10,12,41.0
19141,2018,7,10,13,50.0
19141,2018,7,10,14,51.0
19141,2018,7,10,15,55.0
19141,2018,7,10,16,56.0
19141,2018,7,10,17,60.0
19141,2018,7,10,18,64.0
19141,2018,7,10,19,65.0
19141,2018,7,10,20,65.0
19141,2018,7,10,21,75.0
19141,2018,7,10,22,80.0
19141,2018,7,10,23,86.0
19141,2018,7,11,0,87.0
19141,2018,7,11,1,87.0
19141,2018,7,11,2,88.0
19141,2018,7,11,3,93.0
19141,2018,7,11,4,87.0
19141,2018,7,11,5,78.0
19141,2018,7,11,6,68.0
19141,2018,7,11,7,66.0
19141,2018,7,11,8,59.0
19141,2018,7,11,9,51.0
19141,2018,7,11,10,46.0
19141,2018,7,11,11,43.0
19141,2018,7,11,12,43.0
19141,2018,7,11,13,45.0
19141,2018,7,11,14,47.0
19141,2018,7,11,15,49.0
19141,2018,7,11,16,59.0
19141,2018,7,11,17,62.0
19141,2018,7,11,19,71.0
19141,2018,7,11,21,75.0
19141,2018,7,11,22,76.0
19141,2018,7,11,23,76.0
19141,2018,7,12,0,78.0
19141,2018,7,12,1,80.0
19141,2018,7,12,2,77.0
19141,2018,7,12,3,78.0
19141,2018,7,12,4,79.0
19141,2018,7,12,5,74.0
19141,2018,7,12,6,68.0
19141,2018,7,12,7,60.0
19141,2018,7,12,8,54.0
19141,2018,7,12,9,49.0
19141,2018,7,12,10,49.0
19141,2018,7,12,11,46.0
19141,2018,7,12,12,48.0
19141,2018,7,12,13,44.0
19141,2018,7,12,14,45.0
19141,2018,7,12,15,49.0
19141,2018,7,12,16,47.0
19141,2018,7,12,17,56.0
19141,2018,7,12,18,60.0
19141,2018,7,12,19,62.0
19141,2018,7,12,20,66.0
19141,2018,7,12,21,69.0
19141,2018,7,12,22,72.0
19141,2018,7,12,23,78.0
19141,2018,7,13,0,80.0
19141,2018,7,13,1,81.0
19141,2018,7,13,2,84.0
19141,2018,7,13,3,90.0
19141,2018,7,13,4,86.0
19141,2018,7,13,5,72.0
19141,2018,7,13,6,68.0
19141,2018,7,13,7,60.0
19141,2018,7,13,8,53.0
19141,2018,7,13,9,46.0
19141,2018,7,13,10,43.0
19141,2018,7,13,11,40.0
19141,2018,7,13,12,41.0
